Id,SalePrice
1461,124725.28538818151
1462,150646.19214931605
1463,180514.63949224463
1464,185778.88803984792
1465,191954.48717993093
1466,183727.65548685245
1467,171614.20094143477
1468,175234.25551186618
1469,182484.14635340153
1470,128608.35138657237
1471,201401.5686316271
1472,100242.50632154226
1473,104657.02545493259
1474,152452.08552130402
1475,125290.54460120274
1476,335893.3863369642
1477,250749.57733577007
1478,299458.9916838231
1479,301438.2026117722
1480,389923.93842329894
1481,300041.35379302944
1482,205232.8154798861
1483,185966.8414027056
1484,178258.81554478355
1485,179848.40596396974
1486,198626.18396567449
1487,300516.835818731
1488,237277.33212769392
1489,198135.45418392573
1490,217164.22214706443
1491,198077.9112298104
1492,104352.41039756642
1493,179551.56438572408
1494,287787.19429217145
1495,279247.6010732023
1496,231766.27852473306
1497,182965.99431921128
1498,161774.694901758
1499,160785.37610954797
1500,162361.7186095362
1501,170741.31482603692
1502,167202.7150402477
1503,255527.71044774662
1504,219047.79540245942
1505,220338.46242475457
1506,180935.06711133572
1507,237598.31751606715
1508,189869.75271737983
1509,158475.03644586587
1510,147853.71920413402
1511,149681.03104701912
1512,172623.17781328637
1513,150340.8402675297
1514,153718.69790980284
1515,183746.64142707977
1516,153596.0167478014
1517,149387.2006847173
1518,141599.80448809653
1519,223445.76474981892
1520,139019.0127404939
1521,139813.59531910194
1522,163111.1072813615
1523,120145.00048823301
1524,120339.87856298078
1525,126199.84030753754
1526,125808.59103600384
1527,111231.53301545214
1528,125701.85459305727
1529,141029.29197354655
1530,166180.73006897382
1531,131557.10457969343
1532,103774.98337346592
1533,140335.9291438613
1534,118964.92368837581
1535,150096.21788080296
1536,120311.37946385784
1537,100091.96610746629
1538,143285.5021311006
1539,182025.41596318447
1540,128888.53799299352
1541,137379.3430604886
1542,136627.74565199288
1543,173366.10794631956
1544,91603.70893306658
1545,106332.90498963869
1546,122993.96524563243
1547,133359.24900745376
1548,123961.10740600435
1549,112924.84533270194
1550,137029.2557409902
1551,120960.10335538762
1552,145763.26208428977
1553,135210.43406015003
1554,115181.54846408777
1555,166696.92469454437
1556,103468.63358936859
1557,119820.09951821556
1558,103637.7344933578
1559,118051.32553370697
1560,140921.73400927393
1561,146744.7799447894
1562,128111.17606042666
1563,123546.29057654136
1564,165365.41284236463
1565,155319.98118734913
1566,205423.21793617666
1567,96296.21103260759
1568,213934.83954593493
1569,155918.82046112325
1570,138221.08889918015
1571,128134.93108997031
1572,141156.66519808516
1573,230328.4025557328
1574,135835.88333841917
1575,203717.2477507415
1576,222322.19334319775
1577,193810.69638982252
1578,145489.0515721972
1579,142896.18846646097
1580,191834.17866098348
1581,136582.22905735814
